,PLOTNO,MONTH,YEAR,SPPNO,RAINTRT,DISPERSION,BLOCK,SUBBLOCK,DISPERSION.FOURLEVELS,FLUX.umolCO2.m2.s,FLUX.mgCO2C.m2.h,Exp.R2,Moisture.Calc,Moisture.Calc2,VWC.perc,VWC.perc2,Temp.C,PROPTOTPLOT,DryWt.g.m2,lnRootBiomass,MB.mg.gdw
558,59,8,2020,3,150,UNDER,EAST,B,POA,3.54,152.928,0.9996,16.12344,259.9653174,NA,NA,NA,0.52,198.2296465,5.289426189,4.492095098
559,58,8,2020,2,150,UNDER,EAST,B,FAB,5.95,257.04,0.9999,16.0444,257.4227714,NA,NA,NA,1.1,302.2563547,5.711275514,5.913960359
560,57,8,2020,5,150,UNDER,EAST,B,POA,7.35,317.52,0.9997,15.95548,254.577342,NA,NA,NA,1.13,336.8149745,5.819533742,4.870618981
561,55,8,2020,3,150,UNDER,EAST,B,AST,6.47,279.504,0.9997,14.30552,204.6479025,NA,NA,NA,0.69,137.1819323,4.921308018,6.743222855
562,56,8,2020,1,150,UNDER,EAST,B,FAB,9.01,389.232,0.9999,14.52288,210.9140435,NA,NA,NA,0.45,66.66129704,4.19962453,6.220800105
563,54,8,2020,1,150,UNDER,EAST,B,FAB,3.71,160.272,0.9994,15.02676,225.8035161,NA,NA,NA,0.65,147.3565514,4.99285517,5.494443904
564,53,8,2020,1,150,UNDER,EAST,B,POA,5.86,253.152,0.9998,15.5751,242.58374,NA,NA,NA,0.25,193.3177614,5.264335267,4.758208354
565,52,8,2020,3,150,OVER,EAST,B,OVER,6.71,289.872,0.9997,14.76494,218.0034532,NA,NA,NA,0.61,41.22474949,3.719038792,2.749393364
566,51,8,2020,2,150,UNDER,EAST,B,AST,7.81,337.392,0.9996,14.54264,211.4883782,NA,NA,NA,0.11,49.82054832,3.908427516,4.257053393
567,50,8,2020,1,150,UNDER,EAST,B,AST,22.34,965.088,0.9874,15.03664,226.1005425,NA,NA,NA,0.65,169.2846096,5.131581379,4.26286685
568,49,8,2020,2,150,OVER,EAST,B,OVER,5.13,221.616,0.9998,15.97524,255.2082931,NA,NA,NA,0.87,440.6662583,6.088287805,6.681412753
569,47,8,2020,1,150,UNDER,EAST,B,POA,8.07,348.624,0.9073,15.8962,252.6891744,NA,NA,NA,0.25,123.1479751,4.813386682,4.085363066
570,46,8,2020,6,150,OVER,EAST,B,OVER,10.34,446.688,0.9377,17.03734,290.2709543,NA,NA,NA,0.74,584.1634715,6.370180861,4.721635838
571,45,8,2020,1,150,UNDER,EAST,B,AST,1.3,56.16,0.8811,16.96818,287.9191325,NA,NA,NA,0.8,716.4335187,6.574285457,5.227333449
572,44,8,2020,3,150,OVER,EAST,B,OVER,11.38,491.616,0.9296,14.02394,196.6708931,NA,NA,NA,0.9,497.3283608,6.209250494,4.098681733
573,45,8,2020,1,150,UNDER,EAST,B,AST,9.06,391.392,0.977,15.13544,229.081544,NA,NA,NA,0.8,716.4335187,6.574285457,5.227333449
574,43,8,2020,1,150,UNDER,EAST,B,FAB,14.7,635.04,0.9043,13.04088,170.0645512,NA,NA,NA,0.4,328.2191757,5.793681604,4.033780236
575,42,8,2020,2,150,OVER,EAST,B,OVER,7.3,315.36,0.9853,12.31964,151.7735297,NA,NA,NA,0.75,45.7857856,3.823973685,4.038659402
576,41,8,2020,1,150,UNDER,EAST,B,POA,6.61,285.552,0.907,12.47278,155.5702409,NA,NA,NA,0.7,282.4333901,5.643442736,5.861554221
577,40,8,2020,2,150,OVER,EAST,A,OVER,7.22,311.904,0.952,12.50736,156.4340542,NA,NA,NA,0.27,93.15039139,4.534215299,4.558799987
578,39,8,2020,2,150,UNDER,EAST,A,AST,7.26,313.632,0.9773,12.9322,167.2417968,NA,NA,NA,1.1,180.6871999,5.196767359,6.046626432
579,38,8,2020,6,150,UNDER,EAST,A,FAB,5.72,247.104,0.9986,12.5123,156.5576513,NA,NA,NA,1.39,166.8286671,5.11696734,4.351492593
580,37,8,2020,3,150,OVER,EAST,A,OVER,7.05,304.56,0.9857,13.49042,181.9914318,NA,NA,NA,1.17,342.9548308,5.83759875,10.48702638
581,36,8,2020,2,150,UNDER,EAST,A,POA,4.75,205.2,0.9982,12.8828,165.9665358,NA,NA,NA,1.35,1454.268822,7.282258525,7.251931498
582,34,8,2020,1,150,UNDER,EAST,A,AST,7.64,330.048,0.9358,12.85316,165.203722,NA,NA,NA,0.1,91.0452978,4.511357161,4.245498933
583,35,8,2020,2,150,OVER,EAST,A,OVER,11.81,510.192,0.931,12.5123,156.5576513,NA,NA,NA,1.15,335.9378522,5.816926179,5.549164891
584,33,8,2020,1,150,UNDER,EAST,A,POA,8.48,366.336,0.9613,13.27306,176.1741218,NA,NA,NA,0.45,423.4746607,6.048493679,5.014879376
585,32,8,2020,2,150,UNDER,EAST,A,FAB,8.58,370.656,0.9845,12.97172,168.2655198,NA,NA,NA,0.35,612.4068105,6.417396785,5.449767805
586,31,8,2020,1,150,UNDER,EAST,A,FAB,6.37,275.184,0.9987,12.60122,158.7907455,NA,NA,NA,0.55,407.8618832,6.010928596,3.961492776
587,30,8,2020,2,150,OVER,EAST,A,OVER,7.76,335.232,0.9805,12.78894,163.5569863,NA,NA,NA,0.62,43.68069201,3.776906174,3.910767942
588,29,8,2020,6,150,OVER,EAST,A,OVER,10.99,474.768,0.9797,13.09028,171.3554305,NA,NA,NA,0.95,214.7195463,5.369332741,5.329849878
589,28,8,2020,3,150,UNDER,EAST,A,FAB,9.08,392.256,0.9666,12.44314,154.8317331,NA,NA,NA,1.12,98.06227644,4.585602751,5.835250072
590,27,8,2020,2,150,OVER,EAST,A,OVER,9.99,431.568,0.9283,12.68026,160.7889937,NA,NA,NA,1.01,155.2506523,5.045040922,5.472568603
591,26,8,2020,1,150,UNDER,EAST,A,AST,8.65,373.68,0.9764,12.85316,165.203722,NA,NA,NA,0.35,115.4292986,4.748658209,6.66193139
592,25,8,2020,1,150,UNDER,EAST,A,POA,7.94,343.008,0.9765,13.52994,183.0592764,NA,NA,NA,1,744.6768578,6.612950376,5.437246251
593,24,8,2020,6,150,UNDER,EAST,A,AST,10.06,434.592,0.9878,11.95902,143.0181594,NA,NA,NA,1.115,575.9185216,6.355966195,16.8412737
594,23,8,2020,1,150,UNDER,EAST,A,FAB,11.69,505.008,0.8907,10.6104,112.5805882,NA,NA,NA,0.125,105.6055285,4.659710723,3.649135575
595,22,8,2020,3,150,UNDER,EAST,A,AST,8.73,377.136,0.9696,10.16086,103.2430759,NA,NA,NA,0.96,662.7536322,6.496403326,13.74515935
596,21,8,2020,5,150,OVER,EAST,A,OVER,17.540001,757.7280432,0.9789,9.7706,95.46462436,NA,NA,NA,1.24,368.2159539,5.908669597,7.029422123
597,20,8,2020,2,50,OVER,EAST,A,OVER,10.82,467.424,0.9533,9.81506,96.3354028,NA,NA,NA,0.17,471.8918133,6.15674975,4.926502467
598,19,8,2020,2,50,UNDER,EAST,A,AST,13.32,575.424,0.9918,9.75084,95.07888071,NA,NA,NA,0.55,219.8068558,5.392749233,6.234728974
599,18,8,2020,6,50,UNDER,EAST,A,FAB,8.42,363.744,0.9765,9.77554,95.56118229,NA,NA,NA,1,88.58935528,4.484011707,5.963299985
600,17,8,2020,3,50,OVER,EAST,A,OVER,3.81,164.592,0.9734,10.31894,106.4805227,NA,NA,NA,1.25,1187.799059,7.079857343,8.374918822
601,16,8,2020,2,50,UNDER,EAST,A,POA,14.29,617.328,0.9742,9.45938,89.47986998,NA,NA,NA,1.2,3399.024451,8.131243743,7.660242834
602,15,8,2020,2,50,OVER,EAST,A,OVER,12.49,539.568,0.957,9.30624,86.60610294,NA,NA,NA,1.25,616.2661487,6.42367893,6.227438124
603,14,8,2020,1,50,UNDER,EAST,A,AST,11.08,478.656,0.9585,9.38528,88.08348068,NA,NA,NA,0.05,392.0736813,5.971449785,5.579532541
604,13,8,2020,1,50,UNDER,EAST,A,POA,4.43,191.376,0.9543,10.10652,102.1417465,NA,NA,NA,0.95,134.1997164,4.899329111,5.381563395
605,12,8,2020,2,50,UNDER,EAST,A,FAB,8.83,381.456,0.9295,9.49396,90.13527648,NA,NA,NA,0.5,138.5853281,4.931486223,5.722434159
606,11,8,2020,1,50,UNDER,EAST,A,FAB,12.49,539.568,0.9722,9.06912,82.24893757,NA,NA,NA,0.7,295.0639516,5.687192118,6.085179534
607,10,8,2020,2,50,OVER,EAST,A,OVER,13.39,578.448,0.9485,9.24202,85.41493368,NA,NA,NA,0.52,552.5870676,6.314611009,5.728620757
608,9,8,2020,6,50,OVER,EAST,A,OVER,7.69,332.208,0.9632,9.34082,87.25091827,NA,NA,NA,0.875,324.3598375,5.781853509,4.779844857
609,8,8,2020,3,50,UNDER,EAST,A,FAB,8.53,368.496,0.9789,9.95338,99.06977342,NA,NA,NA,1.12,2451.381487,7.804407017,5.662094958
610,7,8,2020,2,50,OVER,EAST,A,OVER,10.36,447.552,0.9528,9.64216,92.97124947,NA,NA,NA,0.96,306.6419664,5.725680834,5.94823297
611,6,8,2020,1,50,UNDER,EAST,A,AST,5.37,231.984,0.9941,9.68662,93.83060702,NA,NA,NA,0.45,294.1868293,5.684215039,4.508391669
612,5,8,2020,1,50,UNDER,EAST,A,POA,4.7,203.04,0.9995,9.83976,96.82087686,NA,NA,NA,1,562.7616866,6.332856247,5.154369961
613,4,8,2020,6,50,UNDER,EAST,A,AST,5.43,234.576,0.9871,10.03242,100.6494511,NA,NA,NA,0.87,732.3971451,6.596322915,5.158898682
614,3,8,2020,1,50,UNDER,EAST,A,FAB,14.99,647.568,0.9117,9.06912,82.24893757,NA,NA,NA,0.4,177.704984,5.180124782,3.970282121
615,2,8,2020,3,50,UNDER,EAST,A,AST,6.67,288.144,0.9837,8.76284,76.78736487,NA,NA,NA,1.03,363.3040689,5.895240139,4.641292651
616,1,8,2020,5,50,OVER,EAST,A,OVER,3.45,149.04,0.9987,7.9181,62.69630761,NA,NA,NA,1.24,438.9120137,6.084298969,5.025528036
617,240,8,2020,3,50,OVER,WEST,F,OVER,5.68,245.376,0.9856,13.98936,195.7021932,NA,NA,NA,0.93,79.64270752,4.377550476,4.276669583
618,239,8,2020,1,50,UNDER,WEST,F,FAB,6.88,297.216,0.976,12.91244,166.7311068,NA,NA,NA,0.75,798.7075932,6.682994913,4.227704511
619,238,8,2020,1,50,UNDER,WEST,F,POA,15.21,657.072,0.9673,13.3521,178.2785744,NA,NA,NA,1,1238.14588,7.121370282,7.636791539
620,237,8,2020,6,50,UNDER,WEST,F,FAB,3.8,164.16,0.9827,12.90256,166.4760546,NA,NA,NA,1.22,851.5103575,6.747011664,4.747517265
621,236,8,2020,2,50,OVER,WEST,F,OVER,6.4,276.48,0.9561,12.61604,159.1644653,NA,NA,NA,1.15,323.4827151,5.779145682,7.647368172
622,235,8,2020,3,50,UNDER,WEST,F,FAB,7.78,336.096,0.9754,12.1665,148.0237223,NA,NA,NA,0.47,173.8456457,5.158167812,6.257638931
623,234,8,2020,6,50,OVER,WEST,F,OVER,4.47,193.104,0.9931,12.23072,149.5905117,NA,NA,NA,0.74,551.7099453,6.313022447,6.00033828
624,233,8,2020,3,50,OVER,WEST,F,OVER,5.95,257.04,0.8909,12.67532,160.6637371,NA,NA,NA,0.75,273.8375913,5.612535198,5.74100334
625,232,8,2020,2,50,OVER,WEST,F,OVER,4.74,204.768,0.9653,11.62804,135.2113142,NA,NA,NA,1,278.5740519,5.62968392,7.282136113
626,231,8,2020,2,50,UNDER,WEST,F,AST,3.27,141.264,0.9994,11.70708,137.0557221,NA,NA,NA,1,352.7786009,5.865840667,4.019254317
627,230,8,2020,1,50,UNDER,WEST,F,FAB,4.39,189.648,0.9969,11.04512,121.9946758,NA,NA,NA,0.2,162.4430554,5.090327512,8.068805108
628,228,8,2020,1,50,UNDER,WEST,F,AST,4.02,173.664,0.932,9.62734,92.68567548,NA,NA,NA,0.3,148.5845226,5.001153972,4.716593285
629,229,8,2020,5,50,UNDER,WEST,F,POA,4.21,181.872,0.9793,11.01054,121.2319911,NA,NA,NA,0.89,1611.449144,7.384889143,7.764559951
630,227,8,2020,2,50,UNDER,WEST,F,POA,6.56,283.392,0.9954,10.3881,107.9126216,NA,NA,NA,1.07,738.361577,6.604433646,5.939621062
631,226,8,2020,1,50,UNDER,WEST,F,POA,7.07,305.424,0.9705,10.92656,119.3897134,NA,NA,NA,0.8,735.5547855,6.600625025,5.272474066
632,225,8,2020,2,50,OVER,WEST,F,OVER,3.56,153.792,0.9787,11.0303,121.6675181,NA,NA,NA,0.8,716.7843677,6.574775053,5.925111922
633,224,8,2020,2,50,UNDER,WEST,F,FAB,10.69,461.808,0.979,9.74096,94.88630172,NA,NA,NA,0.15,548.7277293,6.307602379,4.685491322
634,223,8,2020,1,50,UNDER,WEST,F,POA,5.68,245.376,0.9889,9.70638,94.2138127,NA,NA,NA,0.85,149.110796,5.004689627,5.414202887
635,222,8,2020,6,50,OVER,WEST,F,OVER,7.42,320.544,0.9812,9.46432,89.57335306,NA,NA,NA,0.93,1534.613228,7.33603366,5.226616297
636,221,8,2020,1,50,UNDER,WEST,F,AST,5.73,247.536,0.9821,9.41492,88.64071861,NA,NA,NA,0.25,404.002545,6.001421177,5.47067402
637,220,8,2020,3,150,OVER,WEST,F,OVER,9.81,423.792,0.9743,9.48902,90.04150056,NA,NA,NA,1.08,122.6217017,4.80910402,4.602103297
638,219,8,2020,1,150,UNDER,WEST,F,FAB,5.67,244.944,0.9763,8.5603,73.27873609,NA,NA,NA,0.5,161.916782,5.087082512,5.653302829
639,218,8,2020,1,150,UNDER,WEST,F,POA,7.17,309.744,0.9522,8.79742,77.39459866,NA,NA,NA,0.8,500.8368501,6.2162804,4.889833537
640,217,8,2020,6,150,UNDER,WEST,F,FAB,9.82,424.224,0.9542,8.56524,73.36333626,NA,NA,NA,1.24,144.7251844,4.974836664,9.946917564
641,216,8,2020,2,150,OVER,WEST,F,OVER,5.84,252.288,0.9762,8.19474,67.15376367,NA,NA,NA,1.1,277.872354,5.62716185,4.077503669
642,215,8,2020,3,150,UNDER,WEST,F,FAB,4.7,203.04,0.9827,7.78966,60.67880292,NA,NA,NA,0.61,187.7041785,5.234867205,3.981130762
643,214,8,2020,6,150,OVER,WEST,F,OVER,7.28,314.496,0.9796,8.37752,70.18284135,NA,NA,NA,0.595,180.6871999,5.196767359,4.879888122
644,213,8,2020,3,150,OVER,WEST,F,OVER,7.94,343.008,0.9789,8.58006,73.6174296,NA,NA,NA,0.7,411.7212215,6.020346473,5.291422376
645,211,8,2020,2,150,UNDER,WEST,F,AST,4.87,210.384,0.9628,7.2265,52.22230225,NA,NA,NA,1.1,121.9200038,4.803365123,6.027984715
646,212,8,2020,2,150,OVER,WEST,F,OVER,8.84,381.888,0.9779,7.8934,62.30576356,NA,NA,NA,1.4,475.2248781,6.16378812,4.806607326
647,210,8,2020,1,150,UNDER,WEST,F,FAB,9.73,420.336,0.9061,7.34012,53.87736161,NA,NA,NA,0.4,106.3072263,4.666333263,4.641481478
648,209,8,2020,5,150,UNDER,WEST,F,POA,5.72,247.104,0.9968,7.8193,61.14145249,NA,NA,NA,1.11,119.4640613,4.783015584,4.820570067
649,208,8,2020,1,150,UNDER,WEST,F,AST,4.43,191.376,0.9974,7.82424,61.21873158,NA,NA,NA,0.125,328.7454491,5.79528374,6.113286335
650,207,8,2020,2,150,UNDER,WEST,F,POA,5.69,245.808,0.9825,7.81436,61.06422221,NA,NA,NA,0.9,324.3598375,5.781853509,5.464825986
651,206,8,2020,1,150,UNDER,WEST,F,POA,5.88,254.016,0.9409,8.23426,67.80303775,NA,NA,NA,0.9,394.8804727,5.978583118,5.377071377
652,205,8,2020,2,150,OVER,WEST,F,OVER,7.39,319.248,0.9556,7.71556,59.52986611,NA,NA,NA,0.85,191.2126678,5.253386253,5.122166869
653,204,8,2020,2,150,UNDER,WEST,F,FAB,5.56,240.192,0.9564,8.28366,68.619023,NA,NA,NA,0.47,115.4292986,4.748658209,6.506945762
654,203,8,2020,1,150,UNDER,WEST,F,POA,7.41,320.112,0.9857,8.28366,68.619023,NA,NA,NA,0.65,114.7276007,4.742560629,4.309020938
655,202,8,2020,6,150,OVER,WEST,F,OVER,7.5,324,0.981,7.9181,62.69630761,NA,NA,NA,0.87,139.9887238,4.941561875,4.609134398
656,201,8,2020,1,150,UNDER,WEST,F,AST,5.53,238.896,0.9995,7.98232,63.71743258,NA,NA,NA,0.65,102.2724636,4.627640464,7.207405165
657,120,8,2020,1,150,UNDER,EAST,C,FAB,6.33,273.456,0.9819,13.49536,182.1247415,NA,NA,NA,0.35,201.3872869,5.305229855,6.083659033
658,119,8,2020,2,150,OVER,EAST,C,OVER,5.2,224.64,0.9579,13.48548,181.8581708,NA,NA,NA,0.5,181.0380488,5.198707224,6.912773943
659,118,8,2020,1,150,UNDER,EAST,C,POA,5.63,243.216,0.9904,13.85598,191.9881818,NA,NA,NA,0.08,89.29105314,4.491901294,4.934661616
660,116,8,2020,2,150,UNDER,EAST,C,FAB,6.65,287.28,0.9884,14.24624,202.9553541,NA,NA,NA,0.5,84.3791681,4.435320548,5.051778596
661,117,8,2020,6,150,UNDER,EAST,C,FAB,6.02,260.064,0.983,14.23142,202.5333152,NA,NA,NA,1.09,144.5497599,4.973623807,6.575834403
662,115,8,2020,1,150,UNDER,EAST,C,AST,5.02,216.864,0.9538,13.89056,192.9476571,NA,NA,NA,0.15,54.90785783,4.005656468,6.217598179
663,114,8,2020,2,150,OVER,EAST,C,OVER,10.43,450.576,0.9513,14.40926,207.6267737,NA,NA,NA,1.25,381.0219399,5.942856959,8.195446534
664,113,8,2020,1,150,UNDER,EAST,C,AST,6.77,292.464,0.9807,14.1919,201.4100256,NA,NA,NA,0.4,141.3921195,4.95153702,5.693502622
665,112,8,2020,2,150,OVER,EAST,C,OVER,6.65,287.28,0.9811,15.02182,225.6550761,NA,NA,NA,0.55,54.73243336,4.002456465,4.231954269
666,110,8,2020,3,150,UNDER,EAST,C,FAB,6.85,295.92,0.9252,14.47842,209.6246457,NA,NA,NA,0.56,65.78417471,4.186379303,4.653917161
667,109,8,2020,3,150,OVER,EAST,C,OVER,6.54,282.528,0.989,15.14038,229.2311065,NA,NA,NA,0.5,12.10428815,2.493559782,3.869459757
668,108,8,2020,2,150,UNDER,EAST,C,AST,21.83,943.056,0.976,16.18272,261.8804266,NA,NA,NA,0.87,110.1665646,4.701993444,12.1095797
669,107,8,2020,5,150,UNDER,EAST,C,POA,18.18,785.376,0.9062,16.23212,263.4817197,NA,NA,NA,0.83,142.9709397,4.962641391,8.480130905
670,105,8,2020,3,150,OVER,EAST,C,OVER,19.75,853.2,0.9501,15.34292,235.4051941,NA,NA,NA,0.6,328.5700246,5.79474998,7.698399147
671,106,8,2020,2,150,UNDER,EAST,C,POA,19.360001,836.3520432,0.888,15.4763,239.5158617,NA,NA,NA,0.65,71.22233316,4.265806437,9.012434212
672,104,8,2020,2,150,UNDER,EAST,C,POA,21.99,949.968,0.8404,16.7113,279.2675477,NA,NA,NA,0.25,66.48587258,4.196989483,5.726141794
673,103,8,2020,1,150,UNDER,EAST,C,FAB,14.69,634.608,0.9689,18.45018,340.409142,NA,NA,NA,0.95,71.22233316,4.265806437,5.805692491
674,102,8,2020,6,150,OVER,EAST,C,OVER,8.94,386.208,0.958,19.29986,372.484596,NA,NA,NA,0.52,186.3007828,5.227362479,7.454079216
675,101,8,2020,6,150,OVER,EAST,C,OVER,5.73,247.536,0.9873,19.64566,385.9519568,NA,NA,NA,0.4,283.6613614,5.647781137,4.352007081
676,100,8,2020,1,50,UNDER,EAST,C,FAB,3.92,169.344,0.9843,20.39654,416.018844,NA,NA,NA,0.7,171.2142787,5.142915864,4.526654408
677,99,8,2020,2,50,OVER,EAST,C,OVER,6.01,259.632,0.918,20.41136,416.623617,NA,NA,NA,0.32,694.330036,6.542947404,5.926737751
678,98,8,2020,1,50,UNDER,EAST,C,POA,4.1,177.12,0.9747,20.5151,420.869328,NA,NA,NA,0.45,191.9143657,5.257049261,6.880371032
679,97,8,2020,6,50,UNDER,EAST,C,FAB,3.00239,129.703248,0.999598,20.05074,402.0321745,NA,NA,NA,0.825,161.3905086,5.083826947,4.775193631
680,96,8,2020,2,50,UNDER,EAST,C,FAB,4.14683,179.143056,0.999745,19.31468,373.0568635,NA,NA,NA,0.72,169.9863075,5.13571789,5.747934507
681,94,8,2020,2,50,OVER,EAST,C,OVER,7.81,337.392,0.9799,19.9717,398.8688009,NA,NA,NA,1.3,798.3567443,6.682555546,11.07536705
682,95,8,2020,1,50,UNDER,EAST,C,AST,9.98,431.136,0.9877,19.27516,371.531793,NA,NA,NA,0.05,563.4633845,6.334102353,6.082918388
683,93,8,2020,1,50,UNDER,EAST,C,AST,5.05,218.16,0.9939,19.35914,374.7763015,NA,NA,NA,0.4,639.9484516,6.461387629,5.95998973
684,92,8,2020,2,50,OVER,EAST,C,OVER,9.39,405.648,0.9631,19.87784,395.1285231,NA,NA,NA,0.65,141.7429684,4.954015336,4.882876427
685,90,8,2020,3,50,UNDER,EAST,C,FAB,6.02,260.064,0.9793,19.18624,368.1118053,NA,NA,NA,0.52,182.7922935,5.2083505,6.726834286
686,88,8,2020,2,50,UNDER,EAST,C,AST,4.38,189.216,0.9877,19.86796,394.7358346,NA,NA,NA,1.1,630.6509549,6.446752548,6.702686463
687,89,8,2020,3,50,OVER,EAST,C,OVER,4.86,209.952,0.9605,19.68024,387.3118465,NA,NA,NA,0.5,142.6200908,4.960184387,4.279626123
688,87,8,2020,5,50,UNDER,EAST,C,POA,6.36,274.752,0.9931,19.70494,388.2846604,NA,NA,NA,0.73,462.5943166,6.136850464,6.162209364
689,86,8,2020,2,50,UNDER,EAST,C,POA,8.94,386.208,0.9352,20.07544,403.0232912,NA,NA,NA,0.85,275.4164115,5.618284176,6.830299365
690,85,8,2020,3,50,OVER,EAST,C,OVER,6.58,284.256,0.9703,19.81362,392.5795375,NA,NA,NA,0.85,795.7253773,6.679254123,5.96196869
691,84,8,2020,2,50,UNDER,EAST,C,POA,4.27,184.464,0.9494,19.71976,388.8689345,NA,NA,NA,0.32,6.315280772,1.842972216,5.265184073
692,83,8,2020,1,50,UNDER,EAST,C,FAB,5.92,255.744,0.9834,19.85808,394.3433413,NA,NA,NA,0.7,101.2199168,4.617295544,3.924863124
693,82,8,2020,6,50,OVER,EAST,C,OVER,3.23,139.536,0.9859,20.0705,402.8249703,NA,NA,NA,0.845,149.9879183,5.010554746,7.72899702
694,81,8,2020,6,50,OVER,EAST,C,OVER,4.53,195.696,0.9724,20.13966,405.6059049,NA,NA,NA,0.475,284.1876348,5.649634706,6.302988591
695,121,8,2020,6,150,UNDER,WEST,D,AST,5.7,246.24,0.9996,8.34788,69.68710049,NA,NA,NA,1.28,83.50204577,4.424871132,6.436150979
696,122,8,2020,1,150,UNDER,WEST,D,FAB,9.47,409.104,0.8918,8.02184,64.34991699,NA,NA,NA,0.5,56.48667802,4.034004823,3.98244634
697,123,8,2020,1,150,UNDER,WEST,D,FAB,9.12,393.984,0.9543,8.05148,64.82633019,NA,NA,NA,0.6,342.4285574,5.836063044,4.231336525
698,124,8,2020,2,150,UNDER,WEST,D,FAB,14.48,625.536,0.9403,8.28366,68.619023,NA,NA,NA,0.33,47.71545473,3.865255344,3.990672935
699,128,8,2020,5,150,OVER,WEST,D,OVER,7.83,338.256,0.9889,8.80236,77.48154157,NA,NA,NA,1.08,140.5149972,4.945314225,4.93320066
700,127,8,2020,6,150,OVER,WEST,D,OVER,11.25,486,0.9537,8.338,69.522244,NA,NA,NA,1.1,178.9329552,5.187011184,7.121874655
701,126,8,2020,1,150,UNDER,WEST,D,AST,5.83,251.856,0.9932,8.44174,71.26297423,NA,NA,NA,0.55,36.48828891,3.596991357,4.63050791
702,125,8,2020,2,150,OVER,WEST,D,OVER,7.92,342.144,0.9491,8.90116,79.23064935,NA,NA,NA,0.28,39.1196559,3.666625049,4.265279048
703,129,8,2020,3,150,UNDER,WEST,D,FAB,7.37,318.384,0.9212,8.89128,79.05486004,NA,NA,NA,0.95,44.55781434,3.796787545,4.329698854
704,130,8,2020,1,150,UNDER,WEST,D,AST,10.63,459.216,0.9694,8.49608,72.18337537,NA,NA,NA,0.45,55.25870676,4.012025916,5.158584225
705,131,8,2020,3,150,UNDER,WEST,D,AST,6.15,265.68,0.9671,8.20956,67.39687539,NA,NA,NA,0.52,385.933825,5.955665917,5.569411306
706,132,8,2020,2,150,OVER,WEST,D,OVER,8.34,360.288,0.9842,8.81224,77.65557382,NA,NA,NA,0.7,48.76800152,3.887074391,3.78883657
707,136,8,2020,1,150,UNDER,WEST,D,POA,11.87,512.784,0.9828,8.5109,72.43541881,NA,NA,NA,1,231.7357195,5.445597582,5.946170601
708,135,8,2020,2,150,UNDER,WEST,D,AST,7.71,333.072,0.9634,7.47844,55.92706483,NA,NA,NA,0.26,59.29346947,4.082499173,3.55939606
709,134,8,2020,2,150,OVER,WEST,D,OVER,7.21,311.472,0.9701,7.8687,61.91643969,NA,NA,NA,0.77,57.53922482,4.052466886,3.924894923
710,133,8,2020,2,150,OVER,WEST,D,OVER,10.09,435.888,0.9813,8.44174,71.26297423,NA,NA,NA,0.35,67.01214597,4.204873886,4.606140613
711,137,8,2020,2,150,UNDER,WEST,D,POA,7.95,343.44,0.9683,8.62452,74.38234523,NA,NA,NA,0.58,112.0962337,4.719357732,7.585178249
712,138,8,2020,6,150,UNDER,WEST,D,FAB,8.32,359.424,0.9415,8.31824,69.1931167,NA,NA,NA,1.54,32.62895066,3.485199951,4.939064636
713,139,8,2020,3,150,OVER,WEST,D,OVER,11.49,496.368,0.9676,8.50102,72.26734104,NA,NA,NA,0.41,90.69444887,4.507496152,3.659415174
714,140,8,2020,1,150,UNDER,WEST,D,POA,9.06,391.392,0.9277,8.74802,76.52785392,NA,NA,NA,0.25,56.13582909,4.027774273,3.823058275
715,141,8,2020,6,50,UNDER,WEST,D,AST,7.32,316.224,0.9707,9.23708,85.32364693,NA,NA,NA,0.79,108.7631689,4.689172756,7.474402063
716,142,8,2020,1,50,UNDER,WEST,D,FAB,7.82,337.824,0.9761,9.12346,83.23752237,NA,NA,NA,0.25,97.00972964,4.574811279,6.055261363
717,143,8,2020,1,50,UNDER,WEST,D,FAB,7.63,329.616,0.9323,9.04936,81.89091641,NA,NA,NA,0.45,228.2272301,5.430341756,12.5205111
718,148,8,2020,5,50,OVER,WEST,D,OVER,8.37,361.584,0.9376,10.73884,115.3226845,NA,NA,NA,1.22,124.7267953,4.826125708,6.928831212
719,147,8,2020,6,50,OVER,WEST,D,OVER,8.74,377.568,0.9813,10.28436,105.7680606,NA,NA,NA,1.18,603.1093138,6.402098464,11.47844004
720,146,8,2020,1,50,UNDER,WEST,D,AST,8.29,358.128,0.9796,10.10652,102.1417465,NA,NA,NA,0.25,67.71384384,4.215290647,6.097362853
721,145,8,2020,2,50,OVER,WEST,D,OVER,5.54,239.328,0.9523,10.84258,117.5615411,NA,NA,NA,0.56,149.2862205,5.005865406,6.860586937
722,149,8,2020,3,50,UNDER,WEST,D,FAB,6.08,262.656,0.9515,10.65486,113.5260416,NA,NA,NA,0.525,104.0267083,4.644647677,6.276759359
723,150,8,2020,1,50,UNDER,WEST,D,AST,10.67,460.944,0.9533,10.76848,115.9601615,NA,NA,NA,0.75,256.6459936,5.547697679,9.492844162
724,151,8,2020,3,50,UNDER,WEST,D,AST,8.05,347.76,0.9362,10.97102,120.3632798,NA,NA,NA,0.77,450.314604,6.109946458,6.262717703
725,152,8,2020,2,50,OVER,WEST,D,OVER,10.82,467.424,0.9588,11.29706,127.6235646,NA,NA,NA,0.8,235.9459066,5.463602569,6.108333419
